translation,Surah,Juz
و زمين پاك [و آماده‌]، گياهش به اذن پروردگارش برمى‌آيد؛ و آن [زمينى‌] كه ناپاك [و نامناسب‌] است [گياهش‌] جز اندك و بى‌فايده برنمى‌آيد. اين گونه، آيات [خود] را براى گروهى كه شكر مى‌گزارند، گونه‌گون بيان مى‌كنيم.,58,8
همانا نوح را به سوى قومش فرستاديم. پس گفت: «اى قوم من، خدا را بپرستيد كه براى شما معبودى جز او نيست، من از عذاب روزى سترگ بر شما بيمناكم.»,59,8
سران قومش گفتند: «واقعاً ما تو را در گمراهى آشكارى مى‌بينيم.»,60,8
گفت: «اى قوم من، هيچ گونه گمراهى در من نيست، بلكه من فرستاده‌اى از جانب پروردگار جهانيانم.,61,8
پيامهاى پروردگارم را به شما مى‌رسانم و اندرزتان مى‌دهم و چيزهايى از خدا مى‌دانم كه [شما] نمى‌دانيد.»,62,8
آيا تعجب كرديد كه بر مردى از خودتان، پندى از جانب پروردگارتان براى شما آمده تا شما را بيم دهد و تا شما پرهيزگارى كنيد و باشد كه مورد رحمت قرار گيريد؟,63,8
پس او را تكذيب كردند، و ما او و كسانى را كه با وى در كشتى بودند نجات داديم؛ و كسانى را كه آيات ما را دروغ پنداشتند غرق كرديم، زيرا آنان گروهى كور[دل‌] بودند.,64,8
و به سوى عاد، برادرشان هود را [فرستاديم‌]؛ گفت: «اى قوم من، خدا را بپرستيد كه براى شما معبودى جز او نيست، پس آيا پرهيزگارى نمى‌كنيد؟»,65,8
ولى به سبب كارهايى كه از پيش كرده‌اند، هرگز آن را آرزو نخواهند كرد. و خدا به [حال‌] ستمگران داناست.,95,1
سران قومش كه كافر بودند گفتند: «در حقيقت، ما تو را در [نوعى‌] سفاهت مى‌بينيم و جداً تو را از دروغگويان مى‌پنداريم.»,66,8
گفت: «اى قوم من، در من سفاهتى نيست، ولى من فرستاده‌اى از جانب پروردگار جهانيانم.,67,8
پيامهاى پروردگارم را به شما مى‌رسانم و براى شما خير خواهى امينم.»,68,8
آيا تعجب كرديد كه بر مردى از خودتان، پندى از جانب پروردگارتان براى شما آمده تا شما را هشدار دهد؟ و به خاطر آوريد زمانى را كه [خداوند] شما را پس از قوم نوح، جانشينان [آنان‌] قرار داد، و در خلقت، بر قوّت شما افزود. پس نعمتهاى خدا را به ياد آوريد، باشد كه رستگار شويد.,69,8
گفتند: «آيا به سوى ما آمده‌اى كه تنها خدا را بپرستيم و آنچه را كه پدرانمان مى پرستيدند رها كنيم؟ اگر راست مى‌گويى، آنچه را به ما وعده مى‌دهى براى ما بياور.»,70,8
گفت: «راستى كه عذاب و خشمى [سخت‌] از پروردگارتان بر شما مقرر گرديده است. آيا در باره نامهايى كه خود و پدرانتان [براى بتها] نامگذارى كرده‌ايد، و خدا بر [حقانيت‌] آنها برهانى فرو نفرستاده با من مجادله مى‌كنيد؟ پس منتظر باشيد كه من [هم‌] با شما از منتظرانم.»,71,8
پس او و كسانى را كه با او بودند به رحمتى از خود رهانيديم؛ و كسانى را كه آيات ما را دروغ شمردند و مؤمن نبودند ريشه‌كن كرديم.,72,8
و به سوى [قوم‌] ثمود، صالح، برادرشان را [فرستاديم‌]؛ گفت: «اى قوم من، خدا را بپرستيد، براى شما معبودى جز او نيست؛ در حقيقت، براى شما از جانب پروردگارتان دليلى آشكار آمده است. اين، ماده‌شتر خدا براى شماست كه پديده‌اى شگرف است. پس آن را بگذاريد تا در زمين خدا بخورد و گزندى به او نرسانيد تا [مبادا] شما را عذابى دردناك فرو گيرد.»,73,8
و به ياد آوريد هنگامى را كه شما را پس از [قوم‌] عاد جانشينان [آنان‌] گردانيد، و در زمين به شما جاىِ [مناسب‌] داد. در دشتهاى آن [براى خود] كاخهايى اختيار مى كرديد، و از كوهها خانه‌هايى [زمستانى ]مى‌تراشيديد. پس نعمتهاى خدا را به ياد آوريد و در زمين سر به فساد برمداريد.,74,8
سران قوم او كه استكبار مى‌ورزيدند، به مستضعفانى كه ايمان آورده بودند، گفتند: «آيا مى‌دانيد كه صالح از طرف پروردگارش فرستاده شده است؟» گفتند: «بى‌ترديد، ما به آنچه وى بدان رسالت يافته است مؤمنيم.»,75,8
و آنان را مسلما آزمندترين مردم به زندگى، و [حتى حريص‌تر] از كسانى كه شرك مى‌ورزند خواهى يافت. هر يك از ايشان آرزو دارد كه كاش هزار سال عمر كند با آنكه اگر چنين عمرى هم به او داده شود، وى را از عذاب دور نتواند داشت. و خدا بر آنچه مى‌كنند بيناست.,96,1
كسانى كه استكبار مى‌ورزيدند، گفتند: «ما به آنچه شما بدان ايمان آورده‌ايد كافريم.»,76,8
پس آن ماده‌شتر را پى كردند و از فرمان پروردگار خود سرپيچيدند و گفتند: «اى صالح، اگر از پيامبرانى، آنچه را به ما وعده مى‌دهى براى ما بياور.»,77,8
آنگاه زمين‌لرزه آنان را فرو گرفت و در خانه هايشان از پا درآمدند.,78,8
پس [صالح‌] از ايشان روى برتافت و گفت: «اى قوم من، به راستى، من پيام پروردگارم را به شما رساندم و خير شما را خواستم ولى شما [خيرخواهان و نصيحتگران‌] را دوست نمى‌داريد.»,79,8
و لوط را [فرستاديم‌] هنگامى كه به قوم خود گفت: «آيا آن كار زشت‌[ى‌] را مرتكب مى‌شويد، كه هيچ كس از جهانيان در آن بر شما پيشى نگرفته است؟,80,8
شما از روى شهوت، به جاى زنان با مردان درمى‌آميزيد، آرى، شما گروهى تجاوزكاريد.»,81,8
ولى پاسخ قومش جز اين نبود كه گفتند: «آنان را از شهرتان بيرون كنيد، زيرا آنان كسانى‌اند كه به پاكى تظاهر مى‌كنند.»,82,8
پس او و خانواده‌اش را -غير از زنش كه از زمره باقيماندگانِ [در خاكستر مواد گوگردى‌] بود- نجات داديم.,83,8
و بر سر آنان بارشى [از مواد گوگردى‌] بارانيديم. پس ببين فرجام گنهكاران چسان بود.,84,8
و به سوى [مردم‌] مدين، برادرشان شعيب را [فرستاديم‌]؛ گفت: «اى قوم من، خدا را بپرستيد كه براى شما هيچ معبودى جز او نيست. در حقيقت، شما را از جانب پروردگارتان برهانى روشن آمده است. پس پيمانه و ترازو را تمام نهيد، و اموال مردم را كم مدهيد، و در زمين، پس از اصلاح آن فساد مكنيد. اين [رهنمودها] اگر مؤمنيد براى شما بهتر است.»,85,8
بگو: «كسى كه دشمن جبرئيل است [در واقع دشمن خداست‌] چرا كه او، به فرمان خدا، قرآن را بر قلبت نازل كرده است، در حالى كه مؤيد [كتابهاى آسمانى‌] پيش از آن، و هدايت و بشارتى براى مؤمنان است.»,97,1
و بر سر هر راهى منشينيد كه [مردم را] بترسانيد و كسى را كه ايمان به خدا آورده از راه خدا باز داريد و راه او را كج بخواهيد؛ و به ياد آوريد هنگامى را كه اندك بوديد، پس شما را بسيار گردانيد، و بنگريد كه فرجام فسادكاران چگونه بوده است.»,86,8
و اگر گروهى از شما به آنچه من بدان فرستاده شده‌ام ايمان آورده و گروه ديگر ايمان نياورده‌اند، صبر كنيد تا خدا ميان ما داورى كند [كه‌] او بهترين داوران است.»,87,8
سران قومش كه تكبر مى‌ورزيدند، گفتند: «اى شعيب، يا تو و كسانى را كه با تو ايمان آورده‌اند، از شهر خودمان بيرون خواهيم كرد؛ يا به كيش ما برگرديد.» گفت: «آيا هر چند كراهت داشته باشيم؟»,88,9
اگر بعد از آنكه خدا ما را از آن نجات بخشيده [باز] به كيش شما برگرديم، در حقيقت به خدا دروغ بسته‌ايم؛ و ما را سزاوار نيست كه به آن بازگرديم، مگر آنكه خدا، پروردگار ما بخواهد. [كه‌] پروردگار ما از نظر دانش بر هر چيزى احاطه دارد. بر خدا توكل كرده‌ايم. بار پروردگارا، ميان ما و قوم ما به حق داورى كن كه تو بهترين داورانى.»,89,9
و سران قومش كه كافر بودند گفتند: «اگر از شعيب پيروى كنيد، در اين صورت قطعاً زيانكاريد.»,90,9
پس زمين‌لرزه آنان را فرو گرفت، و در خانه‌هايشان از پا درآمدند.,91,9
كسانى كه شعيب را تكذيب كرده بودند، گويى خود در آن [ديار] سكونت نداشتند. كسانى كه شعيب را تكذيب كرده بودند، خود، همان زيانكاران بودند.,92,9
پس [شعيب‌] از ايشان روى برتافت و گفت: «اى قوم من، به راستى كه پيامهاى پروردگارم را به شما رسانيدم و پندتان دادم؛ ديگر چگونه بر گروهى كه كافرند دريغ بخورم؟»,93,9
و در هيچ شهرى، پيامبرى نفرستاديم مگر آنكه مردمش را به سختى و رنج دچار كرديم تا مگر به زارى درآيند.,94,9
آنگاه به جاى بدى [=بلا]، نيكى [=نعمت‌] قرار داديم تا انبوه شدند و گفتند: «پدران ما را [هم مسلماً به حكم طبيعت‌] رنج و راحت مى‌رسيده است.» پس در حالى كه بى خبر بودند بناگاه [گريبان‌] آنان را گرفتيم.,95,9
هر كه دشمن خدا، و فرشتگان و فرستادگان او، و جبرئيل و ميكائيل است [بداند كه‌] خدا يقينا دشمن كافران است.,98,1
و اگر مردم شهرها ايمان آورده و به تقوا گراييده بودند، قطعاً بركاتى از آسمان و زمين برايشان مى‌گشوديم، ولى تكذيب كردند؛ پس به [كيفر] دستاوردشان [گريبان‌] آنان را گرفتيم.,96,9
آيا ساكنان شهرها ايمن شده‌اند از اينكه عذاب ما شامگاهان -در حالى كه به خواب فرو رفته‌اند- به آنان برسد؟,97,9
و آيا ساكنان شهرها ايمن شده‌اند از اينكه عذاب ما نيمروز -در حالى كه به بازى سرگرمند- به ايشان دررسد؟,98,9
آيا از مكر خدا خود را ايمن دانستند؟ [با آنكه‌] جز مردم زيانكار [كسى‌] خود را از مكر خدا ايمن نمى‌داند.,99,9
مگر براى كسانى كه زمين را پس از ساكنان [پيشين‌] آن به ارث مى‌برند، باز ننموده است كه اگر مى‌خواستيم آنان را به [كيفر] گناهانشان مى‌رسانديم و بر دلهايشان مُهر مى‌نهاديم تا ديگر نشنوند.,100,9
اين شهرهاست كه برخى از خبرهاى آن را بر تو حكايت مى‌كنيم. در حقيقت، پيامبرانشان دلايل روشن برايشان آوردند. اما آنان به آنچه قبلاً تكذيب كرده بودند [باز] ايمان نمى‌آوردند. اين گونه خدا بر دلهاى كافران مُهر مى‌نهد.,101,9
و در بيشتر آنان عهدى [استوار] نيافتيم و بيشترشان را جداً نافرمان يافتيم.,102,9
آنگاه بعد از آنان، موسى را با آيات خود به سوى فرعون و سران قومش فرستاديم. ولى آنها به آن [آيات‌] كفر ورزيدند. پس ببين فرجام مفسدان چگونه بود.,103,9
و موسى گفت: «اى فرعون، بى‌ترديد، من پيامبرى از سوى پروردگار جهانيانم.»,104,9
شايسته است كه بر خدا جز [سخن‌] حق نگويم. من در حقيقت دليلى روشن از سوى پروردگارتان براى شما آورده‌ام، پس فرزندان اسرائيل را همراه من بفرست.,105,9
و همانا بر تو آياتى روشن فرو فرستاديم، و جز فاسقان [كسى‌] آنها را انكار نمى‌كند.,99,1
[فرعون‌] گفت: «اگر معجزه‌اى آورده‌اى، پس اگر راست مى‌گويى آن را ارائه بده.»,106,9
پس [موسى‌] عصايش را افكند و بناگاه اژدهايى آشكار شد.,107,9
و دست خود را [از گريبان‌] بيرون كشيد و ناگهان براى تماشاگران سپيد [و درخشنده‌] بود.,108,9
سران قوم فرعون گفتند: «بى‌شك، اين [مرد] ساحرى داناست.»,109,9
مى‌خواهد شما را از سرزمينتان بيرون كند. پس چه دستور مى‌دهيد؟,110,9
گفتند: «او و برادرش را بازداشت كن، و گردآورندگانى را به شهرها بفرست.,111,9
تا هر ساحر دانايى را نزد تو آرند.,112,9
و ساحران نزد فرعون آمدند [و] گفتند: «[آيا] اگر ما پيروز شويم براى ما پاداشى خواهد بود؟»,113,9
گفت: «آرى، و مسلماً شما از مقربان [دربار من‌] خواهيد بود.»,114,9
گفتند: «اى موسى، آيا تو مى‌افكنى و يا اينكه ما مى‌افكنيم؟»,115,9
و مگر نه اين بود كه [يهود] هر گاه پيمانى بستند، گروهى از ايشان آن را دور افكندند؟ بلكه [حقيقت اين است كه‌] بيشترشان ايمان نمى‌آورند.,100,1
گفت: «شما بيفكنيد.» و چون افكندند، ديدگان مردم را افسون كردند و آنان را به ترس انداختند و سحرى بزرگ در ميان آوردند.,116,9
و به موسى وحى كرديم كه: «عصايت را بينداز»؛ پس [انداخت و اژدها شد] و ناگهان آنچه را به دروغ ساخته بودند فرو بلعيد.,117,9
پس حقيقت آشكار گرديد و كارهايى كه مى‌كردند باطل شد.,118,9
و در آنجا مغلوب و خوار گرديدند.,119,9
و ساحران به سجده درافتادند.,120,9
[و] گفتند: «به پروردگار جهانيان ايمان آورديم،,121,9
پروردگار موسى و هارون.,122,9
فرعون گفت: «آيا پيش از آنكه به شما رخصت دهم، به او ايمان آورديد؟ قطعاً اين نيرنگى است كه در شهر به راه انداخته‌ايد تا مردمش را از آن بيرون كنيد. پس به زودى خواهيد دانست.»,123,9
دستها و پاهايتان را يكى از چپ و يكى از راست خواهم بريد سپس همه شما را به دار خواهم آويخت.,124,9
گفتند: «ما به سوى پروردگارمان بازخواهيم گشت.,125,9
و آنگاه كه فرستاده‌اى از جانب خداوند برايشان آمد -كه آنچه را با آنان بود تصديق مى‌داشت- گروهى از اهل كتاب، كتاب خدا را پشت سر افكندند، چنانكه گويى [از آن هيچ‌] نمى‌دانند.,101,1
و تو جز براى اين ما را به كيفر نمى‌رسانى كه ما به معجزات پروردگارمان -وقتى براى ما آمد- ايمان آورديم. پروردگارا، بر ما شكيبايى فرو ريز و ما را مسلمان بميران.»,126,9
و سران قوم فرعون گفتند: «آيا موسى و قومش را رها مى‌كنى تا در اين سرزمين فساد كنند و [موسى‌] تو و خدايانت را رها كند؟» [فرعون‌] گفت: «بزودى پسرانشان را مى‌كُشيم و زنانشان را زنده نگاه مى‌داريم، و ما بر آنان مسلطيم.»,127,9
موسى به قوم خود گفت: «از خدا يارى جوييد و پايدارى ورزيد، كه زمين از آنِ خداست؛ آن را به هر كس از بندگانش كه بخواهد مى‌دهد؛ و فرجام [نيك‌] براى پرهيزگاران است.»,128,9
[قوم موسى‌] گفتند: «پيش از آنكه تو نزد ما بيايى و [حتى‌] بعد از آنكه به سوى ما آمدى مورد آزار قرار گرفتيم.» گفت: «اميد است كه پروردگارتان دشمن شما را هلاك كند و شما را روى زمين جانشين [آنان ]سازد؛ آنگاه بنگرد تا چگونه عمل مى‌كنيد.»,129,9
و در حقيقت، ما فرعونيان را به خشكسالى و كمبود محصولات دچار كرديم باشد كه عبرت گيرند.,130,9
پس هنگامى كه نيكى [و نعمت‌] به آنان روى مى‌آورد مى‌گفتند: «اين براى [شايستگى‌] خود ماست» و چون گزندى به آنان مى‌رسيد، به موسى و همراهانش شگون بد مى‌زدند. آگاه باشيد كه [سرچشمه ]بدشگونى آنان تنها نزد خداست [كه آنان را به بدى اعمالشان كيفر مى‌دهد]، ليكن بيشترشان نمى‌دانستند.,131,9
و گفتند: «هر گونه پديده شگرفى كه به وسيله آن ما را افسون كنى براى ما بياورى، ما به تو ايمان آورنده نيستيم.»,132,9
پس بر آنان طوفان و ملخ و كنه ريز و غوكها و خون را به صورت نشانه‌هايى آشكار فرستاديم و باز سركشى كردند و گروهى بدكار بودند.,133,9
و هنگامى كه عذاب بر آنان فرود آمد، گفتند: «اى موسى، پروردگارت را به عهدى كه نزد تو دارد براى ما بخوان، اگر اين عذاب را از ما برطرف كنى حتماً به تو ايمان خواهيم آورد و بنى‌اسرائيل را قطعاً با تو روانه خواهيم ساخت.»,134,9
و چون عذاب را -تا سررسيدى كه آنان بدان رسيدند- از آنها برداشتيم باز هم پيمان‌شكنى كردند.,135,9
و آنچه را كه شيطان‌[صفت‌]ها در سلطنت سليمان خوانده [و درس گرفته‌] بودند، پيروى كردند. و سليمان كفر نورزيد، ليكن آن شيطان‌[صفت‌]ها به كفر گراييدند كه به مردم سحر مى‌آموختند. و [نيز از] آنچه بر آن دو فرشته، هاروت و ماروت، در بابِل فرو فرستاده شده بود [پيروى كردند]، با اينكه آن دو [فرشته‌] هيچ كس را تعليم [سحر] نمى‌كردند مگر آنكه [قبلا به او] مى‌گفتند: «ما [وسيله‌] آزمايشى [براى شما ]هستيم، پس زنهار كافر نشوى.» و[لى‌] آنها از آن دو [فرشته‌] چيزهايى مى‌آموختند كه به وسيله آن ميان مرد و همسرش جدايى بيفكنند. هر چند بدون فرمان خدا نمى‌توانستند به وسيله آن به احدى زيان برسانند. و [خلاصه‌] چيزى مى‌آموختند كه برايشان زيان داشت، و سودى بديشان نمى‌رسانيد. و قطعاً [يهوديان‌] دريافته بودند كه هر كس خريدار اين [متاع‌] باشد، در آخرت بهره‌اى ندارد. وه كه چه بد بود آنچه به جان خريدند-اگر مى‌دانستند.,102,1
سرانجام از آنان انتقام گرفتيم و در دريا غرقشان ساختيم، چرا كه آيات ما را تكذيب كردند و از آنها غافل بودند.,136,9
و به آن گروهى كه پيوسته تضعيف مى‌شدند، [بخشهاى‌] باختر و خاورى سرزمين [فلسطين‌] را -كه در آن بركت قرار داده بوديم- به ميراث عطا كرديم. و به پاس آنكه صبر كردند، وعده نيكوى پروردگارت به فرزندان اسرائيل تحقق يافت، و آنچه را كه فرعون و قومش ساخته و افراشته بودند ويران كرديم.,137,9
و فرزندان اسرائيل را از دريا گذرانديم. تا به قومى رسيدند كه بر [پرستش‌] بتهاى خويش همت مى‌گماشتند. گفتند: «اى موسى، همان گونه كه براى آنان خدايانى است، براى ما [نيز] خدايى قرار ده.» گفت: «راستى شما نادانى مى‌كنيد.»,138,9
در حقيقت، آنچه ايشان در آنند نابود [و زايل‌] و آنچه انجام مى‌دادند باطل است.,139,9
گفت: «آيا غير از خدا معبودى براى شما بجويم، با اينكه او شما را بر جهانيان برترى داده است؟»,140,9
و [ياد كن‌] هنگامى را كه شما را از فرعونيان نجات داديم كه شما را سخت شكنجه مى‌كردند: پسرانتان را مى‌كشتند و زنانتان را زنده باقى مى‌گذاشتند و در اين، براى شما آزمايشِ بزرگى از جانب پروردگارتان بود.,141,9
و با موسى، سى شب وعده گذاشتيم و آن را با ده شب ديگر تمام كرديم. تا آنكه وقت معين پروردگارش در چهل شب به سر آمد. و موسى [هنگام رفتن به كوه طور] به برادرش هارون گفت: «در ميان قوم من جانشينم باش، و [كار آنان را] اصلاح كن، و راه فسادگران را پيروى مكن.»,142,9
و چون موسى به ميعاد ما آمد و پروردگارش با او سخن گفت، عرض كرد: «پروردگارا، خود را به من بنماى تا بر تو بنگرم.» فرمود: «هرگز مرا نخواهى ديد، ليكن به كوه بنگر؛ پس اگر بر جاى خود قرار گرفت به زودى مرا خواهى ديد. « پس چون پروردگارش به كوه جلوه نمود، آن را ريز ريز ساخت، و موسى بيهوش بر زمين افتاد، و چون به خود آمد، گفت: «تو منزهى! به درگاهت توبه كردم و من نخستين مؤمنانم.»,143,9
فرمود: «اى موسى، تو را با رسالتها و با سخن گفتنم [با تو]، بر مردم [روزگار] برگزيدم؛ پس آنچه را به تو دادم بگير و از سپاسگزاران باش.»,144,9
و در الواح [تورات‌] براى او در هر موردى پندى، و براى هر چيزى تفصيلى نگاشتيم، پس [فرموديم:] «آن را به جدّ و جهد بگير و قوم خود را وادار كن كه بهترين آن را فرا گيرند، به زودى سراى نافرمانان را به شما مى‌نمايانم.»,145,9
و آنان كه بدانچه به سوى تو فرود آمده، و به آنچه پيش از تو نازل شده است، ايمان مى آورند؛ و آنانند كه به آخرت يقين دارند.,4,1
اگر آنها گرويده و پرهيزگارى كرده بودند قطعاً پاداشى [كه‌] از جانب خدا [مى‌يافتند] بهتر بود-اگر مى‌دانستند.,103,1
به زودى كسانى را كه در زمين، بناحق تكبّر مى‌ورزند، از آياتم رويگردان سازم [به طورى كه‌] اگر هر نشانه‌اى را [از قدرت من‌] بنگرند، بدان ايمان نياورند، و اگر راه صواب را ببينند آن را برنگزينند، و اگر راه گمراهى را ببينند آن را راه خود قرار دهند. اين بدان سبب است كه آنان آيات ما را دروغ انگاشته و غفلت ورزيدند.,146,9
و كسانى كه آيات ما و ديدار آخرت را دروغ پنداشتند، اعمالشان تباه شده است. آيا جز در برابر آنچه مى‌كردند كيفر مى‌بينند؟,147,9
و قوم موسى پس از [عزيمت‌] او، از زيورهاى خود مجسمه گوساله‌اى براى خود ساختند كه صداى گاو داشت. آيا نديدند كه آن [گوساله‌] با ايشان سخن نمى‌گويد و راهى بدانها نمى‌نمايد؟ آن را [به پرستش ]گرفتند و ستمكار بودند.,148,9
و چون انگشت ندامت گِزيدند و دانستند كه واقعاً گمراه شده‌اند گفتند: «اگر پروردگار ما به ما رحم نكند و ما را نبخشايد قطعاً از زيانكاران خواهيم بود.»,149,9
و چون موسى، خشمناك و اندوهگين به سوى قوم خود بازگشت، گفت: «پس از من چه بد جانشينى براى من بوديد! آيا بر فرمان پروردگارتان پيشى گرفتيد؟ و الواح را افكند و [موى‌] سر برادرش را گرفت و او را به طرف خود كشيد. [هارون ] گفت: « اى فرزند مادرم، اين قوم، مرا ناتوان يافتند و چيزى نمانده بود كه مرا بكشند؛ پس مرا دشمن‌شاد مكن و مرا در شمار گروه ستمكاران قرار مده.,150,9
[موسى‌] گفت: «پروردگارا، من و برادرم را بيامرز و ما را در [پناه‌] رحمت خود درآور، و تو مهربانترين مهربانانى.»,151,9
آرى، كسانى كه گوساله را [به پرستش‌] گرفتند، به زودى خشمى از پروردگارشان و ذلّتى در زندگى دنيا به ايشان خواهد رسيد؛ و ما اين گونه، دروغ‌پردازان را كيفر مى‌دهيم.,152,9
و[لى‌] كسانى كه مرتكب گناهان شدند، آنگاه توبه كردند و ايمان آوردند، قطعاً پروردگار تو پس از آن آمرزنده مهربان خواهد بود.,153,9
و چون خشم موسى فرو نشست، الواح را برگرفت، و در رونويس آن، براى كسانى كه از پروردگارشان بيمناك بودند، هدايت و رحمتى بود.,154,9
و موسى از ميان قوم خود هفتاد مرد براى ميعاد ما برگزيد، و چون زلزله، آنان را فرو گرفت، گفت: «پروردگارا، اگر مى‌خواستى، آنان را و مرا پيش از اين هلاك مى‌ساختى. آيا ما را به [سزاى‌] آنچه كم‌خردان ما كرده‌اند هلاك مى‌كنى؟ اين جز آزمايش تو نيست؛ هر كه را بخواهى به وسيله آن گمراه و هر كه را بخواهى هدايت مى‌كنى؛ تو سرور مايى؛ پس ما را بيامرز و به ما رحم كن، و تو بهترين آمرزندگانى.»,155,9
اى كسانى كه ايمان آورده‌ايد، نگوييد: «راعنا»، و بگوييد: «انظرنا»، و [اين توصيه را] بشنويد؛ و [گر نه‌] كافران را عذابى دردناك است.,104,1
«و براى ما در اين دنيا نيكى مقرّر فرما و در آخرت [نيز]، زيرا كه ما به سوى تو بازگشته‌ايم.» فرمود: «عذاب خود را به هر كس بخواهم مى‌رسانم، و رحمتم همه چيز را فرا گرفته است؛ و به زودى آن را براى كسانى كه پرهيزگارى مى‌كنند و زكات مى‌دهند و آنان كه به آيات ما ايمان مى‌آورند، مقرّر مى‌دارم.»,156,9
همانان كه از اين فرستاده، پيامبر درس نخوانده -كه [نام‌] او را نزد خود، در تورات و انجيل نوشته مى‌يابند- پيروى مى‌كنند؛ [همان پيامبرى كه‌] آنان را به كار پسنديده فرمان مى‌دهد، و از كار ناپسند باز مى‌دارد، و براى آنان چيزهاى پاكيزه را حلال و چيزهاى ناپاك را بر ايشان حرام مى‌گرداند، و از [دوش‌] آنان قيد و بندهايى را كه بر ايشان بوده است برمى‌دارد. پس كسانى كه به او ايمان آوردند و بزرگش داشتند و ياريش كردند و نورى را كه با او نازل شده است پيروى كردند، آنان همان رستگارانند.,157,9
بگو: «اى مردم، من پيامبر خدا به سوى همه شما هستم، همان [خدايى‌] كه فرمانروايى آسمانها و زمين از آن اوست. هيچ معبودى جز او نيست؛ كه زنده مى‌كند و مى‌ميراند. پس به خدا و فرستاده او -كه پيامبر درس‌نخوانده‌اى است كه به خدا و كلمات او ايمان دارد- بگرويد و او را پيروى كنيد، اميد كه هدايت شويد.»,158,9
