SrNo,JuzNo,SurahNo,AyahNo,EnglishTranslation,OrignalArabicText,ArabicText,ArabicWordCount,ArabicLetterCount
32,1,2,25,"But give glad tidings to those who believe and work righteousness, that their portion is Gardens, beneath which rivers flow. Every time they are fed with fruits therefrom, they say: ""Why, this is what we were fed with before,"" for they are given things in similitude; and they have therein companions pure (and holy); and they abide therein (for ever).",????????? ????????? ??????? ?????????? ????????????? ????? ?????? ???????? ??????? ???? ????????? ???????????? ? ???????? ???????? ??????? ???? ???????? ??????? ? ??????? ?????? ??????? ????????? ???? ?????? ? ???????? ???? ???????????? ? ???????? ?????? ????????? ??????????? ? ?????? ?????? ??????????,???? ????? ????? ?????? ???????? ?? ??? ????? ???? ?? ????? ??????? ? ???? ????? ???? ?? ????? ????? ? ????? ??? ???? ????? ?? ??? ? ????? ?? ???????? ? ???? ???? ????? ????? ? ??? ???? ??????,39,154
33,1,2,26,"Allah disdains not to use the similitude of things, lowest as well as highest. Those who believe know that it is truth from their Lord; but those who reject Faith say: ""What means Allah by this similitude?"" By it He causes many to stray, and many He leads into the right path; but He causes not to stray, except those who forsake (the path),-",????? ??????? ??? ??????????? ???? ???????? ??????? ??? ????????? ????? ????????? ? ???????? ????????? ??????? ????????????? ??????? ???????? ???? ????????? ? ???????? ????????? ???????? ???????????? ?????? ??????? ??????? ???????? ??????? ? ??????? ???? ???????? ????????? ???? ???????? ? ????? ??????? ???? ?????? ?????????????,?? ???? ?? ?????? ?? ???? ????? ?? ?????? ??? ????? ? ???? ????? ????? ??????? ??? ???? ?? ???? ? ???? ????? ????? ??????? ???? ???? ???? ???? ????? ? ??? ?? ?????? ????? ?? ?????? ? ??? ??? ?? ??? ????????,43,164
34,1,2,27,"Those who break Allah's Covenant after it is ratified, and who sunder what Allah Has ordered to be joined, and do mischief on earth: These cause loss (only) to themselves.",????????? ??????????? ?????? ??????? ???? ?????? ?????????? ????????????? ??? ?????? ??????? ???? ???? ??????? ????????????? ??? ????????? ? ?????????? ???? ?????????????,????? ?????? ??? ???? ?? ??? ?????? ??????? ?? ??? ???? ?? ?? ???? ??????? ?? ????? ? ????? ?? ????????,21,83
35,1,2,28,"How can ye reject the faith in Allah?- seeing that ye were without life, and He gave you life; then will He cause you to die, and will again bring you to life; and again to Him will ye return.",?????? ??????????? ????????? ?????????? ?????????? ????????????? ? ????? ??????????? ????? ??????????? ????? ???????? ???????????,??? ?????? ????? ????? ??????? ??????? ? ?? ?????? ?? ?????? ?? ???? ??????,14,62
36,1,2,29,"It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens, for He gave order and perfection to the seven firmaments; and of all things He hath perfect knowledge.",???? ??????? ?????? ?????? ??? ??? ????????? ???????? ????? ????????? ????? ?????????? ????????????? ?????? ?????????? ? ?????? ??????? ?????? ???????,?? ???? ??? ??? ?? ?? ????? ?????? ?? ????? ??? ?????? ?????? ??? ??????? ? ??? ??? ???? ????,20,74
37,1,2,30,"Behold, thy Lord said to the angels: ""I will create a vicegerent on earth."" They said: ""Wilt Thou place therein one who will make mischief therein and shed blood?- whilst we do celebrate Thy praises and glorify Thy holy (name)?"" He said: ""I know what ye know not.""",?????? ????? ??????? ??????????????? ?????? ??????? ??? ????????? ????????? ? ??????? ?????????? ?????? ???? ???????? ?????? ?????????? ?????????? ???????? ????????? ?????????? ??????????? ???? ? ????? ?????? ???????? ??? ??? ???????????,??? ??? ??? ???????? ??? ???? ?? ????? ?????? ? ????? ????? ???? ?? ???? ???? ????? ?????? ???? ???? ????? ????? ?? ? ??? ??? ???? ?? ?? ??????,30,114
38,1,2,31,"And He taught Adam the names of all things; then He placed them before the angels, and said: ""Tell me the names of these if ye are right.""",????????? ????? ???????????? ???????? ????? ?????????? ????? ?????????????? ??????? ???????????? ??????????? ?????????? ???? ???????? ??????????,???? ??? ??????? ???? ?? ????? ??? ???????? ???? ??????? ?????? ????? ?? ???? ??????,15,70
39,1,2,32,"They said: ""Glory to Thee, of knowledge We have none, save what Thou Hast taught us: In truth it is Thou Who art perfect in knowledge and wisdom.""",??????? ??????????? ??? ?????? ????? ?????? ??? ???????????? ? ??????? ?????? ?????????? ??????????,????? ?????? ?? ??? ??? ??? ?? ?????? ? ??? ??? ?????? ??????,13,49
40,1,2,33,"He said: ""O Adam! Tell them their names."" When he had told them, Allah said: ""Did I not tell you that I know the secrets of heaven and earth, and I know what ye reveal and what ye conceal?""",????? ??? ????? ???????????? ??????????????? ? ???????? ???????????? ??????????????? ????? ?????? ?????? ?????? ?????? ???????? ?????? ????????????? ??????????? ?????????? ??? ????????? ????? ???????? ???????????,??? ?? ??? ?????? ???????? ? ???? ?????? ???????? ??? ??? ??? ??? ??? ???? ??? ???????? ?????? ????? ?? ????? ??? ???? ??????,24,102
41,1,2,34,"And behold, We said to the angels: ""Bow down to Adam"" and they bowed down. Not so Iblis: he refused and was haughty: He was of those who reject Faith.",?????? ??????? ??????????????? ????????? ??????? ?????????? ?????? ????????? ?????? ????????????? ??????? ???? ?????????????,??? ???? ???????? ?????? ???? ?????? ??? ????? ??? ??????? ???? ?? ????????,13,63
42,1,2,35,"We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression.""",????????? ??? ????? ??????? ?????? ?????????? ?????????? ??????? ??????? ??????? ?????? ????????? ????? ????????? ??????? ??????????? ?????????? ???? ?????????????,????? ?? ??? ???? ??? ????? ????? ???? ???? ????? ??? ????? ??? ????? ??? ?????? ?????? ?? ????????,19,81
43,1,2,36,"Then did Satan make them slip from the (garden), and get them out of the state (of felicity) in which they had been. We said: ""Get ye down, all (ye people), with enmity between yourselves. On earth will be your dwelling-place and your means of livelihood - for a time.""",?????????????? ???????????? ??????? ??????????????? ?????? ?????? ????? ? ????????? ????????? ?????????? ???????? ??????? ? ???????? ??? ????????? ??????????? ????????? ?????? ?????,??????? ??????? ???? ???????? ??? ???? ??? ? ????? ?????? ????? ????? ??? ? ???? ?? ????? ????? ????? ??? ????,21,90
44,1,2,37,"Then learnt Adam from his Lord words of inspiration, and his Lord Turned towards him; for He is Oft-Returning, Most Merciful.",??????????? ????? ???? ??????? ????????? ??????? ???????? ? ??????? ???? ??????????? ??????????,????? ??? ?? ??? ?????? ???? ???? ? ??? ?? ?????? ??????,12,45
45,1,2,38,"We said: ""Get ye down all from here; and if, as is sure, there comes to you Guidance from me, whosoever follows My guidance, on them shall be no fear, nor shall they grieve.",??????? ????????? ??????? ???????? ? ???????? ??????????????? ?????? ????? ?????? ?????? ??????? ????? ?????? ?????????? ????? ???? ???????????,???? ?????? ???? ?????? ? ???? ??????? ??? ???? ??? ??? ???? ??? ??? ????? ??? ?? ??????,18,71
46,1,2,39,"""But those who reject Faith and belie Our Signs, they shall be companions of the Fire; they shall abide therein.""",??????????? ???????? ??????????? ??????????? ?????????? ????????? ???????? ? ???? ?????? ??????????,?????? ????? ?????? ??????? ????? ????? ????? ? ?? ???? ??????,11,52
47,1,2,40,"O Children of Israel! call to mind the (special) favour which I bestowed upon you, and fulfil your covenant with Me as I fulfil My Covenant with you, and fear none but Me.",??? ????? ???????????? ????????? ?????????? ??????? ?????????? ?????????? ?????????? ????????? ????? ???????????? ?????????? ????????????,?? ??? ??????? ?????? ????? ???? ????? ????? ?????? ????? ??? ?????? ????? ???????,14,69
48,1,2,41,"And believe in what I reveal, confirming the revelation which is with you, and be not the first to reject Faith therein, nor sell My Signs for a small price; and fear Me, and Me alone.",????????? ????? ?????????? ?????????? ????? ???????? ????? ????????? ??????? ??????? ???? ? ????? ?????????? ????????? ??????? ???????? ?????????? ???????????,?????? ??? ????? ?????? ??? ???? ??? ?????? ??? ????? ?? ? ??? ?????? ?????? ????? ?????? ????? ??????,19,84
49,1,2,42,"And cover not Truth with falsehood, nor conceal the Truth when ye know (what it is).",????? ?????????? ???????? ???????????? ???????????? ???????? ?????????? ???????????,??? ?????? ???? ??????? ??????? ???? ????? ??????,8,42
50,1,2,43,And be steadfast in prayer; practise regular charity; and bow down your heads with those who bow down (in worship).,??????????? ?????????? ??????? ?????????? ??????????? ???? ?????????????,??????? ?????? ????? ?????? ??????? ?? ????????,7,41
51,1,2,44,"Do ye enjoin right conduct on the people, and forget (To practise it) yourselves, and yet ye study the Scripture? Will ye not understand?",????????????? ???????? ?????????? ???????????? ???????????? ?????????? ????????? ?????????? ? ??????? ???????????,??????? ????? ????? ?????? ?????? ????? ????? ?????? ? ???? ??????,11,56
52,1,2,45,"Nay, seek (Allah's) help with patient perseverance and prayer: It is indeed hard, except to those who bring a lowly spirit,-",?????????????? ??????????? ???????????? ? ?????????? ??????????? ?????? ????? ?????????????,????????? ?????? ??????? ? ????? ?????? ??? ??? ????????,9,48
53,1,2,46,"Who bear in mind the certainty that they are to meet their Lord, and that they are to return to Him.",????????? ?????????? ????????? ???????? ????????? ??????????? ???????? ??????????,????? ????? ???? ????? ???? ????? ???? ??????,8,38
54,1,2,47,"Children of Israel! call to mind the (special) favour which I bestowed upon you, and that I preferred you to all other (for My Message).",??? ????? ???????????? ????????? ?????????? ??????? ?????????? ?????????? ???????? ????????????? ????? ?????????????,?? ??? ??????? ?????? ????? ???? ????? ????? ???? ?????? ??? ????????,12,58
55,1,2,48,"Then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her, nor shall compensation be taken from her, nor shall anyone be helped (from outside).",?????????? ??????? ??? ??????? ?????? ???? ?????? ??????? ????? ???????? ??????? ????????? ????? ???????? ??????? ?????? ????? ???? ???????????,?????? ????? ?? ???? ??? ?? ???? ????? ??? ???? ???? ????? ??? ???? ???? ??? ??? ?? ??????,19,72
56,1,2,49,"And remember, We delivered you from the people of Pharaoh: They set you hard tasks and punishments, slaughtered your sons and let your women-folk live; therein was a tremendous trial from your Lord.",?????? ?????????????? ???? ??? ?????????? ?????????????? ????? ?????????? ???????????? ????????????? ??????????????? ??????????? ? ????? ????????? ??????? ???? ????????? ???????,??? ??????? ?? ?? ????? ???????? ??? ?????? ?????? ??????? ???????? ?????? ? ??? ???? ???? ?? ???? ????,19,85
57,1,2,50,And remember We divided the sea for you and saved you and drowned Pharaoh's people within your very sight.,?????? ????????? ?????? ????????? ????????????????? ????????????? ??? ?????????? ?????????? ???????????,??? ????? ??? ????? ????????? ??????? ?? ????? ????? ??????,10,50
58,1,2,51,"And remember We appointed forty nights for Moses, and in his absence ye took the calf (for worship), and ye did grievous wrong.",?????? ?????????? ??????? ??????????? ???????? ????? ???????????? ????????? ???? ???????? ?????????? ??????????,??? ?????? ???? ?????? ????? ?? ?????? ????? ?? ???? ????? ??????,12,54
59,1,2,52,Even then We did forgive you; there was a chance for you to be grateful.,????? ????????? ???????? ???? ?????? ??????? ??????????? ???????????,?? ????? ???? ?? ??? ??? ????? ??????,8,30
60,1,2,53,And remember We gave Moses the Scripture and the Criterion (Between right and wrong): There was a chance for you to be guided aright.,?????? ???????? ?????? ?????????? ?????????????? ??????????? ???????????,??? ????? ???? ?????? ???????? ????? ??????,7,37
61,1,2,54,"And remember Moses said to his people: ""O my people! Ye have indeed wronged yourselves by your worship of the calf: So turn (in repentance) to your Maker, and slay yourselves (the wrong-doers); that will be better for you in the sight of your Maker."" Then He turned towards you (in forgiveness): For He is Oft-Returning, Most Merciful.",?????? ????? ??????? ?????????? ??? ?????? ????????? ?????????? ???????????? ??????????????? ????????? ????????? ?????? ??????????? ??????????? ???????????? ????????? ?????? ?????? ?????? ??????????? ??????? ?????????? ? ??????? ???? ??????????? ??????????,??? ??? ???? ????? ?? ??? ???? ????? ?????? ???????? ????? ?????? ??? ?????? ??????? ?????? ???? ??? ??? ??? ?????? ???? ????? ? ??? ?? ?????? ??????,28,122
62,1,2,55,"And remember ye said: ""O Moses! We shall never believe in thee until we see Allah manifestly,"" but ye were dazed with thunder and lighting even as ye looked on.",?????? ???????? ??? ??????? ???? ???????? ???? ??????? ????? ??????? ???????? ?????????????? ???????????? ?????????? ???????????,??? ???? ?? ???? ?? ???? ?? ??? ??? ???? ????? ??????? ??????? ????? ??????,15,61
63,1,2,56,Then We raised you up after your death: Ye had the chance to be grateful.,????? ????????????? ???? ?????? ?????????? ??????????? ???????????,?? ??????? ?? ??? ????? ????? ??????,7,30
64,1,2,57,"And We gave you the shade of clouds and sent down to you Manna and quails, saying: ""Eat of the good things We have provided for you:"" (But they rebelled); to us they did no harm, but they harmed their own souls.",???????????? ?????????? ?????????? ????????????? ?????????? ???????? ????????????? ? ?????? ???? ?????????? ??? ????????????? ? ????? ?????????? ????????? ??????? ???????????? ???????????,?????? ????? ?????? ??????? ????? ???? ??????? ? ???? ?? ????? ?? ??????? ? ??? ?????? ???? ????? ?????? ??????,20,92
65,1,2,58,"And remember We said: ""Enter this town, and eat of the plenty therein as ye wish; but enter the gate with humility, in posture and in words, and We shall forgive you your faults and increase (the portion of) those who do good.""",?????? ??????? ????????? ??????? ??????????? ???????? ??????? ?????? ???????? ??????? ??????????? ???????? ???????? ????????? ??????? ???????? ?????? ???????????? ? ??????????? ??????????????,??? ???? ?????? ??? ?????? ????? ???? ??? ???? ????? ??????? ????? ????? ?????? ??? ???? ??? ??????? ? ?????? ????????,21,98
66,1,2,59,"But the transgressors changed the word from that which had been given them; so We sent on the transgressors a plague from heaven, for that they infringed (Our command) repeatedly.",????????? ????????? ???????? ??????? ?????? ??????? ????? ?????? ????????????? ????? ????????? ???????? ??????? ???? ?????????? ????? ??????? ???????????,???? ????? ????? ????? ??? ???? ??? ??? ??????? ??? ????? ????? ????? ?? ?????? ??? ????? ??????,18,79
67,1,2,60,"And remember Moses prayed for water for his people; We said: ""Strike the rock with thy staff."" Then gushed forth therefrom twelve springs. Each group knew its own place for water. So eat and drink of the sustenance provided by Allah, and do no evil nor mischief on the (face of the) earth.",?????? ??????????? ??????? ?????????? ????????? ??????? ????????? ????????? ? ????????????? ?????? ???????? ???????? ??????? ? ???? ?????? ????? ??????? ???????????? ? ?????? ??????????? ???? ?????? ??????? ????? ????????? ??? ????????? ???????????,??? ?????? ???? ????? ????? ???? ????? ????? ? ??????? ??? ????? ???? ????? ? ?? ??? ?? ????? ?????? ? ???? ??????? ?? ??? ???? ??? ????? ?? ????? ??????,31,123
68,1,2,61,"And remember ye said: ""O Moses! we cannot endure one kind of food (always); so beseech thy Lord for us to produce for us of what the earth groweth, -its pot-herbs, and cucumbers, Its garlic, lentils, and onions."" He said: ""Will ye exchange the better for the worse? Go ye down to any town, and ye shall find what ye want!"" They were covered with humiliation and misery; they drew on themselves the wrath of Allah. This because they went on rejecting the Signs of Allah and slaying His Messengers without just cause. This because they rebelled and went on transgressing.",?????? ???????? ??? ??????? ???? ???????? ?????? ??????? ??????? ??????? ????? ??????? ???????? ????? ?????? ???????? ????????? ???? ????????? ????????????? ?????????? ??????????? ??????????? ? ????? ????????????????? ??????? ???? ???????? ????????? ???? ?????? ? ????????? ??????? ??????? ?????? ??? ?????????? ? ?????????? ?????????? ?????????? ??????????????? ????????? ???????? ???? ??????? ? ??????? ??????????? ??????? ??????????? ???????? ??????? ????????????? ????????????? ???????? ???????? ? ??????? ????? ??????? ????????? ???????????,??? ???? ?? ???? ?? ???? ??? ????? ????? ???? ??? ??? ???? ??? ??? ???? ????? ?? ????? ??????? ?????? ?????? ?????? ? ??? ????????? ???? ?? ???? ????? ?? ??? ? ?????? ????? ??? ??? ?? ????? ? ????? ????? ????? ???????? ?????? ????? ?? ???? ? ??? ????? ????? ?????? ????? ???? ??????? ??????? ???? ???? ? ??? ??? ???? ?????? ??????,65,266
69,1,2,62,"Those who believe (in the Qur'an), and those who follow the Jewish (scriptures), and the Christians and the Sabians,- any who believe in Allah and the Last Day, and work righteousness, shall have their reward with their Lord; on them shall be no fear, nor shall they grieve.",????? ????????? ??????? ??????????? ??????? ?????????????? ??????????????? ???? ????? ????????? ??????????? ???????? ???????? ???????? ???????? ?????????? ?????? ????????? ????? ?????? ?????????? ????? ???? ???????????,?? ????? ????? ?????? ????? ???????? ????????? ?? ??? ????? ?????? ????? ???? ?????? ???? ????? ??? ???? ??? ??? ????? ??? ?? ??????,24,109
70,1,2,63,"And remember We took your covenant and We raised above you (The towering height) of Mount (Sinai): (Saying): ""Hold firmly to what We have given you and bring (ever) to remembrance what is therein: Perchance ye may fear Allah.""",?????? ????????? ???????????? ??????????? ?????????? ???????? ?????? ??? ???????????? ????????? ??????????? ??? ????? ??????????? ??????????,??? ????? ??????? ?????? ????? ????? ???? ?? ??????? ????? ??????? ?? ??? ????? ?????,15,71
71,1,2,64,"But ye turned back thereafter: Had it not been for the Grace and Mercy of Allah to you, ye had surely been among the lost.",????? ????????????? ???? ?????? ??????? ? ????????? ?????? ??????? ?????????? ???????????? ?????????? ???? ?????????????,?? ?????? ?? ??? ??? ? ????? ??? ???? ????? ?????? ????? ?? ????????,14,55
72,1,2,65,"And well ye knew those amongst you who transgressed in the matter of the Sabbath: We said to them: ""Be ye apes, despised and rejected.""",???????? ?????????? ????????? ?????????? ???????? ??? ????????? ????????? ?????? ??????? ???????? ??????????,???? ????? ????? ?????? ???? ?? ????? ????? ??? ????? ????? ??????,12,55
73,1,2,66,"So We made it an example to their own time and to their posterity, and a lesson to those who fear Allah.",?????????????? ???????? ????? ?????? ????????? ????? ????????? ???????????? ??????????????,???????? ?????? ??? ??? ????? ??? ????? ??????? ???????,9,47
74,1,2,67,"And remember Moses said to his people: ""Allah commands that ye sacrifice a heifer."" They said: ""Makest thou a laughing-stock of us?"" He said: ""Allah save me from being an ignorant (fool)!""",?????? ????? ??????? ?????????? ????? ??????? ???????????? ???? ?????????? ???????? ? ??????? ?????????????? ??????? ? ????? ??????? ????????? ???? ??????? ???? ?????????????,??? ??? ???? ????? ?? ???? ?????? ?? ?????? ????? ? ????? ??????? ????? ? ??? ???? ????? ?? ???? ?? ????????,22,87
75,1,2,68,"They said: ""Beseech on our behalf Thy Lord to make plain to us what (heifer) it is!"" He said; ""He says: The heifer should be neither too old nor too young, but of middling age. Now do what ye are commanded!""",??????? ????? ????? ??????? ????????? ????? ??? ???? ? ????? ??????? ??????? ???????? ???????? ??? ??????? ????? ?????? ??????? ?????? ??????? ? ??????????? ??? ???????????,????? ??? ??? ??? ???? ??? ?? ?? ? ??? ??? ???? ???? ???? ?? ???? ??? ??? ???? ??? ??? ? ??????? ?? ??????,25,82
76,1,2,69,"They said: ""Beseech on our behalf Thy Lord to make plain to us Her colour."" He said: ""He says: A fawn-coloured heifer, pure and rich in tone, the admiration of beholders!""",??????? ????? ????? ??????? ????????? ????? ??? ????????? ? ????? ??????? ??????? ???????? ???????? ????????? ??????? ????????? ??????? ?????????????,????? ??? ??? ??? ???? ??? ?? ????? ? ??? ??? ???? ???? ???? ????? ???? ????? ??? ????????,19,72
77,1,2,70,"They said: ""Beseech on our behalf Thy Lord to make plain to us what she is: To us are all heifers alike: We wish indeed for guidance, if Allah wills.""",??????? ????? ????? ??????? ????????? ????? ??? ???? ????? ????????? ????????? ????????? ???????? ???? ????? ??????? ?????????????,????? ??? ??? ??? ???? ??? ?? ?? ?? ????? ????? ????? ???? ?? ??? ???? ???????,17,62
